Fecha,Hora,Velocidad_Bajada,Velocidad_Subida
22-02-2022,12:03:29,151.59,9.77
22-02-2022,12:04:30,153.44,39.73
22-02-2022,12:05:30,33.24,13.93
22-02-2022,12:06:30,122.84,12.48
22-02-2022,12:07:30,44.81,28.19
22-02-2022,12:08:31,229.26,34.65
22-02-2022,12:09:30,159.33,20.99
22-02-2022,12:10:30,173.26,23.35
22-02-2022,12:11:30,72.4,18.94
22-02-2022,12:12:30,158.24,17.69
22-02-2022,12:13:30,194.16,18.04
22-02-2022,12:14:30,130.67,15.31
22-02-2022,12:15:29,174.96,14.78
22-02-2022,12:16:29,148.85,13.6
22-02-2022,12:17:30,46.85,55.11
22-02-2022,12:18:30,114.67,16.38
22-02-2022,12:19:29,200.63,14.02
22-02-2022,12:20:29,215.59,31.5
22-02-2022,12:21:30,201.79,27.47
22-02-2022,12:22:30,44.04,16.16
22-02-2022,12:23:30,154.73,16.87
22-02-2022,12:24:29,181.78,13.66
22-02-2022,12:25:30,131.31,31.89
22-02-2022,12:26:30,196.23,32.0
22-02-2022,12:27:36,123.01,12.63
22-02-2022,12:28:30,220.06,22.38
22-02-2022,12:29:30,164.52,15.05
22-02-2022,12:30:30,43.41,31.94
22-02-2022,12:31:30,157.76,18.58
22-02-2022,12:32:30,43.48,19.73
22-02-2022,12:33:30,163.42,47.08
22-02-2022,12:34:30,99.15,37.44
22-02-2022,12:35:29,174.44,38.4
22-02-2022,12:36:30,38.77,21.0
22-02-2022,12:37:30,148.65,17.71
22-02-2022,12:38:30,141.73,15.14
22-02-2022,12:39:30,112.45,19.35
22-02-2022,12:40:29,204.99,18.33
22-02-2022,12:41:30,43.39,16.55
22-02-2022,12:42:30,222.11,21.35
22-02-2022,12:43:30,108.11,9.2
22-02-2022,12:44:30,169.75,14.6
22-02-2022,12:45:29,103.13,38.04
22-02-2022,12:46:29,143.38,23.4
22-02-2022,12:47:30,186.66,31.11
22-02-2022,12:48:30,101.18,30.82
22-02-2022,12:49:30,126.45,14.88
22-02-2022,12:50:30,171.07,11.56
22-02-2022,12:51:29,188.53,26.92
22-02-2022,12:52:30,149.2,9.49
22-02-2022,12:53:29,140.2,16.29
22-02-2022,12:54:30,40.71,15.63
22-02-2022,12:55:30,39.84,19.56
22-02-2022,12:56:30,90.5,32.79
22-02-2022,12:57:30,166.82,12.23
22-02-2022,12:58:30,125.81,15.78
22-02-2022,12:59:30,179.79,34.86
22-02-2022,13:00:29,200.61,14.47
22-02-2022,13:01:30,106.06,10.32
22-02-2022,13:02:29,47.32,10.27
22-02-2022,13:03:29,159.87,14.86
22-02-2022,13:04:30,180.63,41.1
22-02-2022,13:05:29,173.47,17.9
22-02-2022,13:06:30,128.36,30.25
22-02-2022,13:07:30,45.53,34.35
22-02-2022,13:08:30,153.55,9.86
22-02-2022,13:09:30,162.9,15.16
22-02-2022,13:10:29,171.96,20.37
22-02-2022,13:11:30,149.52,12.83
22-02-2022,13:12:30,144.61,25.39
22-02-2022,13:13:30,144.81,33.28
22-02-2022,13:14:29,44.89,20.47
22-02-2022,13:15:30,143.7,3.29
22-02-2022,13:16:30,46.41,35.54
22-02-2022,13:17:30,147.36,12.99
22-02-2022,13:18:30,179.76,37.68
22-02-2022,13:19:30,95.65,32.05
22-02-2022,13:20:30,102.7,14.36
22-02-2022,13:21:30,161.45,25.82
22-02-2022,13:22:30,150.44,27.47
22-02-2022,13:23:29,218.67,19.45
22-02-2022,13:24:30,160.05,17.23
22-02-2022,13:25:30,177.8,17.49
22-02-2022,13:26:29,133.67,8.72
22-02-2022,13:27:29,157.95,43.0
22-02-2022,13:28:29,155.27,17.98
22-02-2022,13:29:30,167.73,13.0
22-02-2022,13:30:30,157.29,18.4
22-02-2022,13:31:30,177.43,35.9
22-02-2022,13:32:30,143.66,29.98
22-02-2022,13:33:29,142.29,31.03
22-02-2022,13:34:29,210.9,34.17
22-02-2022,13:35:30,147.47,22.92
22-02-2022,13:36:30,195.9,32.0
22-02-2022,13:37:30,194.36,15.13
22-02-2022,13:38:30,135.72,32.88
22-02-2022,13:39:29,215.53,12.43
22-02-2022,13:40:30,143.48,25.45
22-02-2022,13:41:30,236.7,38.85
22-02-2022,13:42:30,173.97,17.05
22-02-2022,13:43:29,196.15,33.4
22-02-2022,13:44:30,126.52,7.65
22-02-2022,13:45:29,39.34,3.12
22-02-2022,13:46:29,43.14,37.2
22-02-2022,13:47:30,41.88,57.37
22-02-2022,13:48:29,164.5,14.63
22-02-2022,13:49:30,143.52,14.39
22-02-2022,13:50:30,47.07,35.79
22-02-2022,13:51:30,207.44,24.3
22-02-2022,13:52:30,38.44,20.69
22-02-2022,13:53:29,181.71,22.54
22-02-2022,13:54:29,152.93,13.49
22-02-2022,13:55:30,156.85,24.88
22-02-2022,13:56:30,152.79,10.68
22-02-2022,13:57:30,36.05,18.37
22-02-2022,13:58:30,134.3,10.04
22-02-2022,13:59:30,43.35,28.56
22-02-2022,14:00:29,181.63,35.15
22-02-2022,14:01:30,181.74,35.21
22-02-2022,14:02:31,110.32,16.11
22-02-2022,14:03:29,215.61,33.11
22-02-2022,14:04:29,182.59,15.55
22-02-2022,14:05:30,81.3,9.96
22-02-2022,14:06:30,49.44,12.32
22-02-2022,14:07:30,201.8,33.41
22-02-2022,14:08:30,48.56,37.88
22-02-2022,14:09:30,41.89,17.19
22-02-2022,14:10:30,173.98,36.72
22-02-2022,14:11:30,180.3,13.6
22-02-2022,14:12:30,162.75,35.46
22-02-2022,14:13:29,222.47,34.82
22-02-2022,14:14:29,143.24,6.93
22-02-2022,14:15:29,162.84,23.72
22-02-2022,14:16:30,149.43,17.92
22-02-2022,14:17:30,43.74,35.48
22-02-2022,14:18:30,134.07,30.19
22-02-2022,14:19:30,124.92,5.09
22-02-2022,14:20:30,42.04,14.24
22-02-2022,14:21:29,180.32,27.69
22-02-2022,14:22:30,46.21,32.51
22-02-2022,14:23:31,91.49,6.73
22-02-2022,14:24:30,56.35,24.27
22-02-2022,14:25:30,133.03,23.04
22-02-2022,14:26:29,45.7,17.44
22-02-2022,14:27:30,160.48,46.69
22-02-2022,14:28:30,41.19,31.36
22-02-2022,14:29:30,115.77,15.34
22-02-2022,14:30:29,47.59,24.4
22-02-2022,14:31:30,169.88,16.58
22-02-2022,14:32:30,132.55,25.06
22-02-2022,14:33:29,137.62,13.49
22-02-2022,14:34:29,196.74,17.09
22-02-2022,14:35:30,115.42,31.56
22-02-2022,14:36:30,166.24,30.53
22-02-2022,14:37:30,185.04,16.95
22-02-2022,14:38:30,97.27,22.21
22-02-2022,14:39:30,133.22,16.54
22-02-2022,14:40:30,173.5,17.76
22-02-2022,14:41:30,151.68,13.52
22-02-2022,14:42:30,42.87,31.3
22-02-2022,14:43:30,9.72,17.75
22-02-2022,14:44:30,138.06,17.12
22-02-2022,14:45:29,222.5,12.8
22-02-2022,14:46:30,192.48,41.58
24-02-2022,15:41:12,170.34,20.72
24-02-2022,15:42:12,31.21,12.53
24-02-2022,15:43:12,95.31,9.06
24-02-2022,15:43:08,78.65,7.63
24-02-2022,15:58:07,170.79,59.63
28-02-2022,10:28:29,17.34,17.14
28-02-2022,10:29:29,21.59,11.06
28-02-2022,10:40:07,22.42,16.01
28-02-2022,10:42:18,17.76,11.43
28-02-2022,10:57:08,18.32,14.58
28-02-2022,11:01:03,23.21,16.54
